,group,cell_name,input_current,f_rate,t_last_spike,R,Tau,sweep,rest_potential
153,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,1600.0,491.86910258984136,499.0,140.676,5.09229,10,-71.24809089073769
154,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,1800.0,509.63081861958267,499.3,140.676,5.09229,11,-71.24809089073769
155,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,2000.0,551.1022044088176,499.80000000000007,140.676,5.09229,12,-71.24809089073769
156,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,-400.0,0.0,,55.6065711975097,5.14121961593627,0,-68.84143301156851
157,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,-200.0,0.0,,55.6065711975097,5.14121961593627,1,-68.84143301156851
158,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,0.0,0.0,,55.6065711975097,5.14121961593627,2,-68.84143301156851
159,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,200.0,0.0,,55.6065711975097,5.14121961593627,3,-68.84143301156851
160,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,400.0,0.0,,55.6065711975097,5.14121961593627,4,-68.84143301156851
161,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,600.0,36.689767631471675,491.7000000000001,55.6065711975097,5.14121961593627,5,-68.84143301156851
162,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,800.0,126.63316582914572,499.0,55.6065711975097,5.14121961593627,6,-68.84143301156851
163,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,1000.0,156.91007845503918,498.4,55.6065711975097,5.14121961593627,7,-68.84143301156851
164,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,1200.0,178.17371937639197,495.1,55.6065711975097,5.14121961593627,8,-68.84143301156851
165,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,1400.0,192.46353322528358,494.7000000000001,55.6065711975097,5.14121961593627,9,-68.84143301156851
166,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,1600.0,202.85197830889737,498.9,55.6065711975097,5.14121961593627,10,-68.84143301156851
167,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,1800.0,208.03878004443547,496.1,55.6065711975097,5.14121961593627,11,-68.84143301156851
168,Naive DMS,20210922_PV_DMS_s2c1_0000.abf,2000.0,216.03068847163337,496.19999999999993,55.6065711975097,5.14121961593627,12,-68.84143301156851
169,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,-400.0,0.0,,83.053237915039,5.37923765182495,0,-73.39636699969952
170,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,-200.0,0.0,,83.053237915039,5.37923765182495,1,-73.39636699969952
171,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,0.0,0.0,,83.053237915039,5.37923765182495,2,-73.39636699969952
172,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,200.0,0.0,,83.053237915039,5.37923765182495,3,-73.39636699969952
173,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,400.0,80.84577114427859,488.50000000000017,83.053237915039,5.37923765182495,4,-73.39636699969952
174,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,600.0,128.92828364222402,499.9,83.053237915039,5.37923765182495,5,-73.39636699969952
175,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,800.0,166.76835468781778,494.3,83.053237915039,5.37923765182495,6,-73.39636699969952
176,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,1000.0,192.22986645082963,496.3,83.053237915039,5.37923765182495,7,-73.39636699969952
177,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,1200.0,204.08163265306118,364.3,83.053237915039,5.37923765182495,8,-73.39636699969952
178,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,1400.0,243.421052631579,153.5,83.053237915039,5.37923765182495,9,-73.39636699969952
179,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,1600.0,261.88166828322016,104.4,83.053237915039,5.37923765182495,10,-73.39636699969952
180,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,1800.0,109.09090909090908,496.1,83.053237915039,5.37923765182495,11,-73.39636699969952
181,Naive DMS,20211018_PV_DMS_s1c3_0000.abf,2000.0,307.6923076923078,46.49999999999999,83.053237915039,5.37923765182495,12,-73.39636699969952
182,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,-400.0,0.0,,87.1348,4.62701,0,-72.54830932617188
183,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,-200.0,0.0,,87.1348,4.62701,1,-72.54830932617188
184,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,0.0,0.0,,87.1348,4.62701,2,-72.54830932617188
185,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,200.0,54.794520547945204,493.9,87.1348,4.62701,3,-72.54830932617188
186,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,400.0,137.987012987013,499.0,87.1348,4.62701,4,-72.54830932617188
187,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,600.0,188.33535844471444,497.7000000000001,87.1348,4.62701,5,-72.54830932617188
188,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,800.0,216.8186423505573,496.3,87.1348,4.62701,6,-72.54830932617188
189,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,1000.0,229.699778359863,498.6,87.1348,4.62701,7,-72.54830932617188
